id,name,known_for_department,profile_path,popularity
3128782,Nell Fisher,Acting,/sBD7AFNCUuaqD443TBBFiAVHAHI.jpg,138.8524
2713,Linda Hamilton,Acting,/7FNn9Z5xkRS9EFbGL2tpmpph9xV.jpg,64.682
1822242,Crystal Remmey,Production,,58.9229
1590797,Sadie Sink,Acting,/vo5x9GRs2vT47LNb1HZvKUEsk8C.jpg,46.118
4718547,Arian S. Cartaya,Acting,/9jHTcwpYgEXb1MXxPEDD0csri9J.jpg,43.5761
4194612,Hudson Williams,Acting,/7xQsPLVRZI3OgpVAeBJXHrdwrtM.jpg,42.7432
1356210,Millie Bobby Brown,Acting,/yr61C2oLZiUlHmySso2Wc5MTv20.jpg,38.878
1903874,Maya Hawke,Acting,/wzRfh5JMZcSRV7Oc7GtfrYSBrGU.jpg,37.4821
1039011,Natalia Dyer,Acting,/cQaa3XEiUTgJxp85VeFYFyblJIH.jpg,35.7268
1245,Scarlett Johansson,Acting,/6bBCPmc55gzP7TR9Th4WbykrYd0.jpg,31.7433
2426851,Clara Stack,Acting,/8XmQEj7AWns6uWUThrcMNC7MCO2.jpg,31.7364
1442069,Finn Wolfhard,Acting,/5OVmquAk0W5BIsRlVKslEP497JD.jpg,29.903
18050,Elle Fanning,Acting,/e8CUyxQSE99y5IOfzSLtHC0B0Ch.jpg,29.429
83356,Jamie Campbell Bower,Acting,/jVAkrPb3lNHZLerfzVxTzh170L7.jpg,28.9802
1904884,Sara Khorami,Acting,/jh49k9oVAVGdApgSCiRyJmrAgoG.jpg,27.5647
1474123,Caleb McLaughlin,Acting,/4jVS3EziBn7bf97ErxkW7jsdiLM.jpg,26.6852
20047,Cara Buono,Acting,/8nK8PSGTfDr3GtqdgUcWwbSlyJX.jpg,24.7712
2029806,Priah Ferguson,Acting,/zqkcm7q70OrYtfKBJmEjrk3LuYd.jpg,24.3729
1977937,Ana Sophia Heger,Acting,/d7hzHAFcEkg6zvUL5IU0i9kUlXE.jpg,24.0011
1393177,Noah Schnapp,Acting,/6NIffxe2yZm6OmOwulY19govKRs.jpg,22.8388
4041976,Caroline Elle Abrams,Acting,/i6mrhcxZWU8mhiTXdQUW5eh5x6T.jpg,21.5711
1920,Winona Ryder,Acting,/5yteOSY2lgGOgSWmRTlxqfY59MS.jpg,21.411
115440,Sydney Sweeney,Acting,/qYiaSl0Eb7G3VaxOg8PxExCFwon.jpg,21.3778
1653291,Gaten Matarazzo,Acting,/qOwnmR5gbOT6ygp17YyLlEKXD38.jpg,21.2605
1467219,Joe Keery,Acting,/ayIAVLMfZGEGIFwAo3pPnY7p59.jpg,21.1508
5081,Emily Blunt,Acting,/5nCSG5TL1bP1geD8aaBfaLnLLCD.jpg,20.9144
1597365,Joseph Quinn,Acting,/zshhuioZaH8S5ZKdMcojzWi1ntl.jpg,20.7642
2019485,Kayla Wallace,Acting,/yeXPErkuJr3gLNeYOuATt27Z8Kr.jpg,19.2584
224197,Brett Gelman,Acting,/ub2IuMWFNQGYghHTPq0lpmn2Ue0.jpg,18.878
1813,Anne Hathaway,Acting,/s6tflSD20MGz04ZR2R1lZvhmC4Y.jpg,18.2349
137905,Bill Skarsgård,Acting,/xBXLx1m0uzhXIbY3wN8lmPGeUHl.jpg,18.1878
141705,Simran,Acting,/BRsVC78sFbFy0NQhaUkGkuUUOL.jpg,17.6655
1448222,Charlie Heaton,Acting,/8Se6WZuvRmoB990bT29OPgVAyBo.jpg,17.5362
976,Jason Statham,Acting,/8FMhYekyLR4ibHQ9Kpuaqe4cVjL.jpg,17.0888
18897,Jackie Chan,Acting,/nraZoTzwJQPHspAVsKfgl3RXKKa.jpg,16.8505
2049994,Zhao Lusi,Acting,/y82wmaDqTdXqvtasb4kxAIuT44U.jpg,16.6734
3467949,Maya McNair,Acting,/sGjeXXuC2ubZr0a7iKbHNplHATV.jpg,16.2784
81676,Raj Nidimoru,Directing,/8Pu6AWiB6BC0LZgL8KrtgtlmHy8.jpg,16.1516
1525047,Dacre Montgomery,Acting,/v5zhoNq2RgnUEtSLAFLOPLTJWCT.jpg,16.1129
225810,Kim S. Falck-Jørgensen,Acting,/pMwD3F5ANWQNF9UU3KivLt2EgFa.jpg,15.8651
2721636,Tony Germano,Acting,/fCqWR4yfNglGDnDI0NZj2lVd97W.jpg,15.8526
3455931,Truman Hanks,Acting,/6ERfNyCNxGWnsTniEM8bfMk8TsL.jpg,15.7587
1892,Matt Damon,Acting,/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg,15.6667
35029,David Harbour,Acting,/qMFtMWlYVtFVyBoBhX5IoA5sN5a.jpg,15.4789
31,Tom Hanks,Acting,/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg,15.2908
109513,Alexandra Daddario,Acting,/lh5zibQXYH1MNqkuX8TmxyNYHhK.jpg,15.2733
4676098,Candy Veloso,Acting,/uW04svzRyG6gHDEqydUmWQb5iK8.jpg,14.975
1649246,Lilah Richcreek Estrada,Acting,/pA3pPpC5ShWvoqREeHLpScXd2Qg.jpg,14.651
